District,Year,Enrollment Type,County,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Color Desc,Row Label,Status %
Carlsbad Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Orange,Medium,86.20%
Vista Unified,2013,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Orange,Medium,92.90%
Carlsbad Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Orange,Medium,92.40%
Vista Unified,2014,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Orange,Medium,88.00%
Carlsbad Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Orange,Medium,91.90%
Vista Unified,2015,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,89.70%
Carlsbad Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,88.90%
Vista Unified,2012,Black,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Green,Medium,79.70%
San Diego Unified,2012,Black,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Green,Medium,83.90%
San Diego Unified,2012,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Green,Medium,85.90%
Vista Unified,2013,Black,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Green,Medium,96.60%
San Diego Unified,2013,Black,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Green,Medium,83.00%
San Diego Unified,2013,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Green,Medium,85.70%
Vista Unified,2014,Black,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Green,Medium,79.10%
San Diego Unified,2014,Black,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Green,Medium,86.60%
San Diego Unified,2014,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Green,Medium,92.00%
Vista Unified,2015,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,87.50%
San Diego Unified,2015,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,86.00%
San Diego Unified,2015,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,89.20%
San Diego Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Green,Medium,80.50%
San Diego Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Green,Medium,81.70%
San Diego Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Green,Medium,84.90%
San Diego Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Green,Medium,87.50%
Carlsbad Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,Declined,Yellow,High,94.00%
Carlsbad Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,Declined,Yellow,High,96.10%
Carlsbad Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,Declined,Yellow,High,95.40%
Carlsbad Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Yellow,High,93.00%
Vista Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,Increased,Green,High,87.40%
San Diego Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,Increased,Green,High,87.00%
Ramona City Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,Increased,Green,High,92.10%
Vista Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,Increased,Green,High,91.60%
San Diego Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,Increased,Green,High,87.90%
Ramona City Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,Increased,Green,High,92.80%
Vista Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,Increased,Green,High,91.10%
San Diego Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,Increased,Green,High,89.70%
Ramona City Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,Increased,Green,High,90.00%
Vista Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Green,High,93.10%
San Diego Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Green,High,90.80%
Ramona City Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Green,High,93.40%
Oceanside Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,Increased Significantly,Blue,High,85.80%
Oceanside Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,Increased Significantly,Blue,High,90.00%
Oceanside Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,Increased Significantly,Blue,High,91.30%
Oceanside Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,94.20%
Warner Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,81.80%
Borrego Springs Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,78.10%
Warner Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,91.70%
Borrego Springs Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,97.00%
Warner Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,86.70%
Borrego Springs Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,72.70%
Warner Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.90%
Borrego Springs Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.30%
Coronado Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,85.70%
Coronado Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,92.30%
Coronado Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
Coronado Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,94.40%
Vista Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,Increased,Green,High,82.20%
Vista Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,Increased,Green,High,88.70%
Vista Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,Increased,Green,High,88.00%
Vista Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,High,90.70%
Oceanside Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,Increased Significantly,Blue,High,83.50%
Oceanside Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,Increased Significantly,Blue,High,87.50%
Oceanside Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,Increased Significantly,Blue,High,89.90%
Oceanside Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,92.90%
Warner Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,81.80%
Borrego Springs Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,78.60%
Warner Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,91.70%
Borrego Springs Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,97.00%
Warner Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,85.70%
Borrego Springs Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,72.70%
Warner Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.30%
Borrego Springs Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.30%
Poway Unified,2013,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
Poway Unified,2014,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
Poway Unified,2015,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,90.90%
San Marcos Unified,2012,Black,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Yellow,High,100.00%
Coronado Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Yellow,High,94.30%
Carlsbad Unified,2012,White,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Yellow,High,96.50%
San Marcos Unified,2013,Black,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Yellow,High,95.50%
Coronado Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Yellow,High,97.40%
Carlsbad Unified,2013,White,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Yellow,High,97.10%
San Marcos Unified,2014,Black,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Yellow,High,93.80%
Coronado Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Yellow,High,97.60%
Carlsbad Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Yellow,High,96.70%
San Marcos Unified,2015,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,92.50%
Coronado Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,92.70%
Carlsbad Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,93.50%
Oceanside Unified,2012,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,92.30%
Oceanside Unified,2013,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
Oceanside Unified,2014,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,87.50%
Oceanside Unified,2015,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.60%
San Diego Unified,2012,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Green,High,92.10%
Oceanside Unified,2012,Black,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Green,High,88.60%
Vista Unified,2012,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Green,High,93.80%
San Diego Unified,2012,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Green,High,94.30%
Ramona City Unified,2012,White,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Green,High,95.30%
San Diego Unified,2013,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Green,High,92.90%
Oceanside Unified,2013,Black,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Green,High,89.00%
Vista Unified,2013,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Green,High,95.20%
San Diego Unified,2013,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Green,High,96.10%
Ramona City Unified,2013,White,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Green,High,94.20%
San Diego Unified,2014,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Green,High,92.50%
Oceanside Unified,2014,Black,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Green,High,91.70%
Vista Unified,2014,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Green,High,88.00%
San Diego Unified,2014,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Green,High,93.10%
Ramona City Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Green,High,93.40%
San Diego Unified,2015,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,93.00%
Oceanside Unified,2015,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,90.60%
Vista Unified,2015,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,90.50%
San Diego Unified,2015,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,93.50%
Ramona City Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,93.40%
Valley Center-Pauma Unified,2012,Amer Indian,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,92.00%
Valley Center-Pauma Unified,2013,Amer Indian,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,95.00%
Valley Center-Pauma Unified,2014,Amer Indian,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,95.00%
Valley Center-Pauma Unified,2015,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,94.10%
Vista Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Green,High,83.70%
Vista Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Green,High,88.90%
Vista Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Green,High,90.30%
Vista Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,91.70%
Borrego Springs Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,82.60%
Borrego Springs Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,96.20%
Borrego Springs Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,76.00%
Borrego Springs Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,90.00%
Oceanside Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Blue,High,82.90%
Ramona City Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Blue,High,85.20%
Mountain Empire Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Blue,High,68.20%
Mountain Empire Unified,2012,White,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Blue,High,86.10%
Oceanside Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Blue,High,88.20%
Ramona City Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Blue,High,91.40%
Mountain Empire Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Blue,High,85.40%
Mountain Empire Unified,2013,White,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Blue,High,83.90%
Oceanside Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Blue,High,90.60%
Ramona City Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Blue,High,81.00%
Mountain Empire Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Blue,High,87.00%
Mountain Empire Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Blue,High,83.70%
Oceanside Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,93.80%
Ramona City Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,93.70%
Mountain Empire Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,92.90%
Mountain Empire Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,94.70%
San Diego Unified,2012,Amer Indian,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Diego Unified,2013,Amer Indian,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,73.70%
San Diego Unified,2014,Amer Indian,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,82.40%
San Diego Unified,2015,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,94.40%
San Marcos Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,Declined,Blue,Very High,98.30%
San Marcos Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,Declined,Blue,Very High,96.40%
San Marcos Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,Declined,Blue,Very High,96.30%
San Marcos Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Blue,Very High,95.60%
Poway Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,97.70%
Valley Center-Pauma Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,97.20%
Poway Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,97.30%
Valley Center-Pauma Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,98.20%
Poway Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,98.00%
Valley Center-Pauma Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,97.90%
Poway Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.80%
Valley Center-Pauma Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.00%
Coronado Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,94.80%
Coronado Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,96.60%
Coronado Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,98.60%
Coronado Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Blue,Very High,98.30%
Coronado Unified,2012,SwD,San Diego,Unified School District,Disability Status,prioryear3_status,San Diego/Imperial,Increased Significantly,Blue,Very High,62.50%
Coronado Unified,2013,SwD,San Diego,Unified School District,Disability Status,prioryear2_status,San Diego/Imperial,Increased Significantly,Blue,Very High,91.70%
Coronado Unified,2014,SwD,San Diego,Unified School District,Disability Status,prioryear1_status,San Diego/Imperial,Increased Significantly,Blue,Very High,94.90%
Coronado Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Blue,Very High,97.10%
San Marcos Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,97.80%
Poway Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,94.90%
Valley Center-Pauma Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,96.10%
San Marcos Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,95.70%
Poway Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,94.90%
Valley Center-Pauma Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,98.20%
San Marcos Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,95.80%
Poway Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,96.30%
Valley Center-Pauma Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,96.80%
San Marcos Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.90%
Poway Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.00%
Valley Center-Pauma Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.80%
San Marcos Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Blue,Very High,98.10%
Valley Center-Pauma Unified,2012,White,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Blue,Very High,97.80%
San Marcos Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Blue,Very High,95.80%
Valley Center-Pauma Unified,2013,White,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Blue,Very High,98.80%
San Marcos Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Blue,Very High,97.40%
Valley Center-Pauma Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Blue,Very High,97.90%
San Marcos Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,95.00%
Valley Center-Pauma Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,96.20%
Vista Unified,2012,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,93.20%
Poway Unified,2012,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,98.80%
Poway Unified,2012,Black,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,98.50%
San Marcos Unified,2012,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,100.00%
San Diego Unified,2012,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,94.60%
Poway Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,93.70%
Valley Center-Pauma Unified,2012,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,97.50%
Carlsbad Unified,2012,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,100.00%
Poway Unified,2012,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,97.10%
San Marcos Unified,2012,White,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,98.60%
San Diego Unified,2012,White,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,93.80%
Poway Unified,2012,White,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,98.40%
Vista Unified,2013,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,98.00%
Poway Unified,2013,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,99.30%
Poway Unified,2013,Black,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,97.70%
San Marcos Unified,2013,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,97.80%
